y,x,idea,beta,alpha,z_last,abs_z,adf_pval,nobs,bucket_y,bucket_x,is_bahrain_pair,is_ksa_pair,ksa_cross
ARAMCO 4 1/4 04/16/39,KSA 5 1/2 10/25/32,Long Y / Short X,1.24,13.63,1.81,1.81,0.134,122,IG,IG,False,True,True
QPETRO 2 1/4 07/12/31,ESCWPC 4.45 08/01/35,Short Y / Long X,0.46,16.88,-1.81,1.81,0.1719,122,IG,OTHER,False,False,False
KSA 4 5/8 10/04/47,KSA 4 1/2 04/17/30,Short Y / Long X,1.07,73.52,-1.81,1.81,0.1794,122,IG,IG,False,True,False
ARAMCO 5 3/4 07/17/54,DPWDU 5 1/4 12/24/29,Short Y / Long X,0.72,100.45,-1.81,1.81,0.1853,121,IG,QUASI,False,False,False
UAE 3 1/4 10/19/61,ESCWPC 4.45 08/01/35,Short Y / Long X,0.64,28.12,-1.81,1.81,0.1883,122,IG,OTHER,False,False,False
KSA 4 1/2 04/22/60,QATAR 9 3/4 06/15/30,Short Y / Long X,1.03,124.77,-1.81,1.81,0.1929,122,IG,IG,False,True,True
ARAMCO 6 3/8 06/02/55,KSA 4 5/8 10/04/47,Long Y / Short X,0.91,49.21,1.8,1.8,0.0051,122,IG,IG,False,True,True
KSA 3 3/4 01/21/55,MOROC 6 1/2 09/08/33,Short Y / Long X,1.14,-3.12,-1.8,1.8,0.0943,122,IG,HY,False,True,True
KSA 4 1/2 10/26/46,DPWDU 5 5/8 09/25/48,Short Y / Long X,0.66,45.74,-1.8,1.8,0.1235,122,IG,QUASI,False,True,True
KSA 3.45 02/02/61,TAQAUH 6 1/2 10/27/36,Short Y / Long X,0.72,108.71,-1.8,1.8,0.1295,122,IG,QUASI,False,True,True
KSA 5 3/4 01/16/54,UAE 4.951 07/07/52,Short Y / Long X,0.8,80.24,-1.8,1.8,0.1434,122,IG,IG,False,True,True
KSA 3 3/4 01/21/55,DPWDU 5 1/4 12/24/29,Short Y / Long X,0.6,97.02,-1.79,1.79,0.0032,121,IG,QUASI,False,True,True
PIFKSA 5 1/4 01/29/34,DPWDU 5 1/4 12/24/29,Short Y / Long X,0.57,52.0,-1.79,1.79,0.0043,121,IG,QUASI,False,True,True
KSA 5 1/4 01/16/50,OMAN 7 3/8 10/28/32,Short Y / Long X,1.13,23.27,-1.79,1.79,0.0288,122,IG,IG,False,True,True
KSA 5 04/17/49,KSA 4 1/2 04/17/30,Short Y / Long X,1.07,74.55,-1.79,1.79,0.1226,122,IG,IG,False,True,False
OMAN 7 01/25/51,KSA 3 3/4 01/21/55,Long Y / Short X,0.73,65.25,1.79,1.79,0.1369,122,IG,IG,False,True,True
KSA 4 1/2 10/26/46,DPWDU 4.7 09/30/49,Short Y / Long X,0.67,45.11,-1.79,1.79,0.1833,122,IG,QUASI,False,True,True
DPWDU 5 5/8 09/25/48,KSA 2 3/4 02/03/32,Long Y / Short X,1.68,19.26,1.78,1.78,0.0103,122,QUASI,IG,False,True,True
ARAMCO 5 3/4 07/17/54,TAQAUH 4 3/4 03/09/37,Short Y / Long X,1.12,60.56,-1.78,1.78,0.0772,122,IG,QUASI,False,False,False
KSA 5 1/2 10/25/32,ARAMCO 2 1/4 11/24/30,Short Y / Long X,0.71,24.4,-1.78,1.78,0.1521,122,IG,IG,False,True,True
KSA 3 3/4 01/21/55,UAE 4.917 09/25/33,Short Y / Long X,0.9,129.96,-1.77,1.77,0.0071,122,IG,IG,False,True,True
KSA 5 3/4 01/16/54,DPWDU 5 1/4 12/24/29,Short Y / Long X,0.6,97.79,-1.77,1.77,0.0385,121,IG,QUASI,False,True,True
KSA 3 1/4 11/17/51,DPWDU 5 1/4 12/24/29,Short Y / Long X,0.67,82.09,-1.77,1.77,0.0612,121,IG,QUASI,False,True,True
TAQAUH 4 3/4 03/09/37,KSA 2 3/4 02/03/32,Long Y / Short X,1.13,12.56,1.77,1.77,0.0841,122,QUASI,IG,False,True,True
KSA 5 01/18/53,KSA 4 3/4 01/16/30,Short Y / Long X,1.26,63.42,-1.77,1.77,0.0969,122,IG,IG,False,True,False
